round,auc,hidden,lr,dropout,l2
1,0.7734880139075272,59,0.006230118205384562,0.12498097107142137,0.08070404745215777
2,0.7730696265369531,62,0.008621915755493212,0.12553824966050386,0.048171687606556296
3,0.7707854488798443,62,0.008655977049286837,0.12236335562409227,0.049048596378695956
4,0.7725991638092815,64,0.008325931809262804,0.11629097406946201,0.07648177708920278
5,0.7724234703147752,62,0.008599506845457598,0.127104077030116,0.0827822784504452
6,0.7713068513649259,62,0.008574246601584935,0.1100216042968961,0.11244295967957452
7,0.7732386686618613,64,0.008466277069693008,0.11240759191121946,0.13960550324676302
8,0.7707160150703811,86,0.0018874952318315974,0.22526842345951442,0.004725275818502323
9,0.7702481479991383,87,0.0037690753633737987,0.40177778045009416,0.005697212389554986
10,0.7727701526765112,88,0.002103729496997794,0.23690779519552843,0.00408652690385582
1,0.7722786002403578,78,0.007420251211600208,0.40909890247736225,0.02054642685234415
2,0.7711420271817141,78,0.006501997490845939,0.3631702145354775,0.009841216237748682
3,0.7708678609714503,81,0.006091599007416852,0.3239487211424202,0.00732405023135502
4,0.7705375636909195,86,0.0018067149357650538,0.11017002068577837,0.004610443726933201
5,0.7726389097983434,84,0.005455201786034215,0.0891361776453221,0.008234441490513675
6,0.7694830782668284,86,0.004257260694536948,0.1272128266951113,0.00905015984473101
7,0.7718019728286685,84,0.0032292591416995453,0.14741420955813853,0.008277358333200879
8,0.7723086125178127,84,0.00326940486588041,0.15548641732677104,0.007275613149356542
9,0.7719612812419696,84,0.0032671980411144346,0.16664859169342888,0.008089858734102213
10,0.7722946608645093,84,0.003294689035171227,0.15381648423627373,0.00877851802106788
1,0.7720300661373259,115,0.003086426588717259,0.16485448019649357,0.06272074961870898
2,0.7720501824746469,119,0.004371396475503926,0.13042709892423227,0.04053857146028841
3,0.7724940397239258,119,0.004887365795729407,0.15914066636703073,0.041713969886183026
4,0.7717714738656333,118,0.0034078826077699417,0.1501829007235531,0.05881708491321388
5,0.7721463839910293,113,0.0029770204253554,0.1811069302767142,0.0006116747826946209
6,0.7725272965719167,113,0.0043060885264346455,0.11662267480422528,0.0041382522810684995
7,0.7729283254901248,113,0.004273452317622371,0.10875670642704974,0.004363950619507657
8,0.7729176184073571,113,0.004459168281371336,0.13231765202920728,0.0026945563758353063
9,0.7735272732110087,113,0.004382129649030218,0.13879553278704707,0.0028113066268796315
10,0.7737977081651564,113,0.0035410681564359637,0.2890846286480108,0.009513035434843614
1,0.7718297139067485,107,0.005853904997887614,0.1392537035188366,0.02343367675505197
2,0.7730949341871312,113,0.004197236040550036,0.2086382893079688,0.017948304015364062
3,0.7733356813208777,114,0.004867297947305032,0.21468133834882802,0.010082229323482024
4,0.7732261770652988,113,0.004020955801210319,0.21497335051351163,0.01975230326736664
5,0.7727489007395025,113,0.005739035394510321,0.21411691845464234,0.01595207520804244
6,0.7709627646596187,118,0.00243874923740914,0.33366670784730124,0.006074809764694671
7,0.7742563282103727,113,0.00308087786175099,0.33320095558031565,0.005868957271819563
8,0.7742912073436312,113,0.0013188049584851955,0.34380135021117364,0.006047721765878345
9,0.7745051867704582,113,0.003047771077872437,0.34867866099082245,0.00533858501361995
10,0.7743567476684515,113,0.003168156400505382,0.3181794221949523,0.004424274853704273
1,0.7748267237105428,113,0.0017715347612110557,0.21069738259449278,0.07609651248469029
2,0.7707280199813632,119,0.00360382816862264,0.10607873024184675,0.01
3,0.7712763524018907,106,0.006272285530231537,0.28586844072846157,0.0049645351949657015
4,0.7699397515697233,95,0.006613328923928994,0.23282306141641396,0.0065499808489236705
5,0.7698839449565099,95,0.007432497239116839,0.39600531703348174,0.00631977121405191
6,0.7738754156294857,64,0.007849470312154955,0.43487049951054196,0.00033819429061263107
7,0.7719178039967918,112,0.008845521979209254,0.16122785424274855,0.0037905911660862214
8,0.7724555915630783,113,0.006754175181228396,0.1362861850441982,0.004011218680842147
9,0.7711887489974277,78,0.006388482817268614,0.3044047243346214,0.007416213284021257
10,0.770149513054854,81,0.00747563137777116,0.3596819491481372,0.007207684387406643
