round,hidden_min,lr_min,dropout_min,l2_min,hidden_max,lr_max,dropout_max,l2_max
1,50,0.008,0.1,0.04,70,0.009,0.14,0.01
2,58,0.008,0.11,0.04,64,0.0088,0.13,0.01
3,60,0.0083,0.11,0.061,65,0.0088,0.13,0.01
4,60,0.0084,0.11,0.07,63,0.0086,0.13,0.01
5,60,0.0084,0.11,0.08,63,0.0086,0.13,0.01
6,60,0.0084,0.11,0.09,65,0.0086,0.13,0.01
7,64,0.0001,0.05,0.0001,128,0.01,0.5,0.01
8,85,0.0015,0.21,0.0005,90,0.007,0.48,0.0075
9,86,0.002,0.22,0.001,90,0.006,0.43,0.006
10,86,0.0024,0.23,0.0028,90,0.0048,0.4,0.0045
1,70,0.005,0.26,0.005,90,0.008,0.41,0.01
2,78,0.0057,0.32,0.0073,86,0.0068,0.38,0.0091
3,64,0.0001,0.05,0.0001,128,0.01,0.5,0.01
4,82,0.0015,0.08,0.0025,89,0.006,0.35,0.01
5,83,0.0015,0.11,0.004,88,0.0055,0.18,0.0095
6,83,0.0018,0.14,0.0069,88,0.005,0.18,0.0093
7,83,0.0025,0.14,0.007,86,0.0033,0.17,0.009
8,83,0.0028,0.14,0.008,85,0.0033,0.17,0.009
9,84,0.0028,0.14,0.0081,85,0.0033,0.17,0.009
10,84,0.003,0.14,0.0084,85,0.0032,0.16,0.0089
1,95,0.0015,0.05,0.03,125,0.008,0.2,0.01
2,115,0.0018,0.12,0.03,125,0.0068,0.18,0.01
3,117,0.0025,0.12,0.035,120,0.004,0.16,0.01
4,64,0.0001,0.05,0.0001,128,0.01,0.5,0.01
5,113,0.004,0.09,0.001,120,0.007,0.18,0.006
6,113,0.0042,0.1,0.0014,120,0.0055,0.17,0.0058
7,113,0.0043,0.13,0.002,114,0.0045,0.15,0.0037
8,113,0.0043,0.13,0.0022,114,0.0044,0.15,0.0035
9,64,0.0001,0.05,0.0001,128,0.01,0.5,0.01
10,100,0.002,0.14,0.0017,120,0.005,0.3,0.006
1,66,0.004,0.2,0.015,126,0.01,0.23,0.01
2,113,0.004,0.2,0.015,122,0.007,0.23,0.01
3,113,0.004,0.207,0.015,116,0.0065,0.219,0.01
4,110,0.0049,0.208,0.015,115,0.0059,0.218,0.01
5,64,0.0001,0.05,0.0001,128,0.01,0.5,0.01
6,113,0.0013,0.17,0.0034,119,0.005,0.37,0.007
7,112,0.0013,0.24,0.0035,118,0.0046,0.35,0.0065
8,113,0.0025,0.25,0.004,114,0.004,0.35,0.0065
9,110,0.0025,0.3,0.004,115,0.0033,0.35,0.006
10,110,0.0026,0.3,0.0042,115,0.0033,0.35,0.006
1,110,0.0013,0.09,0.01,120,0.0045,0.25,0.01
2,64,0.0001,0.05,0.0001,128,0.01,0.5,0.01
3,80,0.005,0.2,0.003,130,0.008,0.45,0.01
4,94,0.0055,0.22,0.0055,99,0.0079,0.42,0.0081
5,64,0.0001,0.05,0.0001,128,0.01,0.5,0.01
6,90,0.005,0.1,0.002,115,0.01,0.2,0.005
7,90,0.0055,0.11,0.0035,115,0.0098,0.2,0.0046
8,64,0.0001,0.05,0.0001,128,0.01,0.5,0.01
9,75,0.006,0.25,0.007,120,0.008,0.45,0.0085
10,80,0.0065,0.27,0.007,115,0.0078,0.44,0.0085
